Ingredient,Foods
Sugar (optional),['Lado Ijo']
Jengkol (dogfruit),['Jariang lado tomat']
Dough,"['Martabak', 'Martabak kubang']"
Fish head,['Gulai kepala ikan']
Squid,['Cumi Saus Padang']
Crab,"['Kepiting saus padang', 'Rajungan goreng']"
Cow intestines,['Gulai tambusu']
jackfruit),['Es campur']
yeast,['Tapai']
Thin beef slices,"['Dendeng balado', 'Dendeng batokok']"
Red chilies (sliced),"['Cumi Saus Padang', 'Kalio Ayam', 'Udang Saus Padang']"
Red snapper's head,['Gulai kepala ikan kakap merah']
Cow fat,['Gulai gajeboh']
skewers,"['Satay ayam', 'Satay daging']"
stinky beans,['Sambal lado tanak']
Chili powder (optional),['Kacang Tojin']
lime leaves,"['Ayam balado', 'Ayam lado ijo', 'Ayam pop goreng', 'Ayam pop rebus', 'Dendeng balado', 'Gulai daging', 'Gulai ayam', 'Gulai banak', 'Gulai gajeboh', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Kepiting saus padang', 'Rendang', 'Soto padang', 'Udang balado', 'Gulai sayua', 'Ayam Cabe Merah']"
bamboo tubes,['Lemang']
palm leaves,['Ketupat']
Buffalo milk (fermented),['Es ampiang dadiah']
Pandan leaves (optional),['Es Cendol']
coriander,"['Ayam bumbu', 'Ayam goreng', 'Dendeng', 'Martabak', 'Peyek', 'Peyek udang', 'Ayam kurma']"
Tomato sauce,"['Cumi Saus Padang', 'Udang Saus Padang']"
Fish,"['Asam padeh', 'Gulai kepala ikan', 'Palai', 'Ikan Panggang', 'Pangek Masin']"
Cow lung,['Paru goreng']
chili peppers,"['Ayam kurma', 'Jariang lado tomat']"
green chilies,['Ayam lado ijo']
lemongrass,"['Asam padeh', 'Ayam bakar', 'Ayam percik', 'Daun ubi tumbuk', 'Gulai daging', 'Gulai ati', 'Gulai ayam', 'Gulai babek', 'Gulai banak', 'Gulai cancang', 'Gulai gajeboh', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai sumsum', 'Gulai tunjang', 'Gulai talua', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Kepiting saus padang', 'Nasi kari or nasi gulai', 'Rendang', 'Sate padang', 'Gulai sayua', 'Ayam kurma', 'Ayam Cabe Merah', 'Ayam Gulai Nangka']"
peanut sauce,['Satay ayam']
shrimp,['Peyek udang']
